iter	Passed	Remaining
0	115	31904
1	206	28453
2	296	27035
3	376	25698
4	468	25483
5	535	24203
6	600	23164
7	693	23312
8	785	23399
9	875	23375
10	967	23393
11	1051	23220
12	1143	23226
13	1245	23396
14	1334	23314
15	1421	23191
16	1501	22958
17	1609	23153
18	1713	23261
19	1821	23412
20	1921	23419
21	2015	23364
22	2113	23338
23	2231	23525
24	2322	23408
25	2394	23117
26	2472	22896
27	2574	22890
28	2667	22815
29	2757	22704
30	2835	22497
31	2928	22420
32	3005	22220
33	3088	22072
34	3184	22016
35	3263	21849
36	3340	21668
37	3419	21505
38	3483	21259
39	3553	21053
40	3612	20795
41	3681	20598
42	3746	20387
43	3803	20138
44	3877	19990
45	3947	19823
46	4028	19714
47	4106	19592
48	4165	19381
49	4227	19192
50	4296	19041
51	4355	18846
52	4426	18709
53	4490	18545
54	4560	18408
55	4622	18243
56	4690	18102
57	4754	17952
58	4825	17829
59	4902	17729
60	4982	17643
61	5055	17530
62	5128	17419
63	5218	17369
64	5305	17303
65	5381	17205
66	5438	17046
67	5526	16986
68	5617	16932
69	5683	16807
70	5742	16662
71	5802	16521
72	5873	16414
73	5948	16317
74	6021	16216
75	6086	16096
76	6155	15988
77	6226	15886
78	6284	15751
79	6344	15622
80	6404	15497
81	6461	15365
82	6540	15286
83	6627	15227
84	6695	15124
85	6761	15017
86	6832	14921
87	6892	14803
88	6953	14688
89	7006	14558
90	7049	14408
91	7113	14303
92	7171	14188
93	7303	14218
94	7416	14208
95	7512	14164
96	7602	14108
97	7689	14045
98	7761	13955
99	7817	13836
100	7872	13718
101	7933	13611
102	7995	13507
103	8054	13398
104	8121	13303
105	8202	13231
106	8265	13132
107	8323	13024
108	8381	12917
109	8457	12839
110	8531	12759
111	8619	12699
112	8690	12612
113	8762	12529
114	8824	12431
115	8884	12331
116	8948	12237
117	9010	12141
118	9058	12027
119	9128	11943
120	9190	11848
121	9247	11748
122	9305	11650
123	9361	11551
124	9419	11453
125	9485	11367
126	9547	11277
127	9609	11186
128	9676	11101
129	9748	11023
130	9812	10936
131	9868	10840
132	9924	10745
133	9987	10657
134	10047	10568
135	10102	10473
136	10153	10375
137	10201	10274
138	10266	10192
139	10324	10103
140	10381	10013
141	10432	9917
142	10492	9832
143	10547	9742
144	10602	9651
145	10656	9562
146	10704	9466
147	10774	9391
148	10843	9315
149	10927	9252
150	11007	9184
151	11075	9108
152	11154	9040
153	11216	8958
154	11275	8874
155	11327	8786
156	11389	8705
157	11453	8626
158	11520	8549
159	11583	8470
160	11644	8389
161	11707	8310
162	11769	8231
163	11831	8152
164	11889	8070
165	11970	8004
166	12063	7946
167	12151	7884
168	12249	7827
169	12341	7768
170	12406	7690
171	12471	7613
172	12550	7544
173	12620	7470
174	12702	7403
175	12805	7348
176	12884	7279
177	12951	7203
178	12991	7112
179	13043	7029
180	13126	6962
181	13192	6886
182	13255	6808
183	13309	6727
184	13390	6658
185	13464	6587
186	13537	6515
187	13629	6452
188	13683	6370
189	13752	6297
190	13807	6217
191	13867	6139
192	13934	6064
193	13991	5985
194	14043	5905
195	14095	5824
196	14150	5746
197	14201	5666
198	14250	5585
199	14310	5509
200	14366	5432
201	14426	5356
202	14478	5277
203	14539	5202
204	14592	5125
205	14654	5050
206	14701	4971
207	14753	4894
208	14807	4817
209	14869	4744
210	14925	4668
211	14994	4597
212	15058	4524
213	15113	4449
214	15167	4373
215	15225	4299
216	15282	4225
217	15349	4154
218	15410	4081
219	15473	4009
220	15537	3937
221	15612	3867
222	15676	3796
223	15764	3729
224	15825	3657
225	15886	3584
226	15938	3510
227	15994	3437
228	16049	3364
229	16098	3289
230	16155	3217
231	16216	3145
232	16269	3072
233	16329	3000
234	16388	2929
235	16436	2855
236	16488	2782
237	16541	2710
238	16604	2639
239	16665	2569
240	16723	2498
241	16783	2427
242	16830	2354
243	16895	2285
244	16965	2215
245	17028	2145
246	17093	2076
247	17159	2006
248	17234	1937
249	17299	1868
250	17346	1796
251	17401	1726
252	17459	1656
253	17518	1586
254	17576	1516
255	17635	1446
256	17685	1376
257	17740	1306
258	17805	1237
259	17876	1168
260	17937	1099
261	17996	1030
262	18051	960
263	18110	891
264	18159	822
265	18212	753
266	18280	684
267	18332	615
268	18405	547
269	18496	479
270	18568	411
271	18657	342
272	18730	274
273	18803	205
274	18872	137
275	18963	68
276	19022	0
