iter	Passed	Remaining
0	3	544
1	6	562
2	9	508
3	12	489
4	14	463
5	17	457
6	19	439
7	21	424
8	24	418
9	26	409
10	29	405
11	31	398
12	33	389
13	36	388
14	38	383
15	41	383
16	43	377
17	46	373
18	48	370
19	50	364
20	53	363
21	55	358
22	57	355
23	60	351
24	62	346
25	65	345
26	67	341
27	69	338
28	72	335
29	74	331
30	76	328
31	78	325
32	81	324
33	84	322
34	86	319
35	89	318
36	92	315
37	94	313
38	97	310
39	99	309
40	102	306
41	104	304
42	107	302
43	109	299
44	112	297
45	114	294
46	117	292
47	119	289
48	122	287
49	124	284
50	126	280
51	129	278
52	131	275
53	133	272
54	136	270
55	138	267
56	140	264
57	143	261
58	145	259
59	148	256
60	150	253
61	152	250
62	154	247
63	156	244
64	159	242
65	161	239
66	163	236
67	165	233
68	167	230
69	169	227
70	171	225
71	173	222
72	176	219
73	178	217
74	180	214
75	183	212
76	185	209
77	188	207
78	190	205
79	193	202
80	195	200
81	197	197
82	199	195
83	202	192
84	204	189
85	206	187
86	208	184
87	211	182
88	213	179
89	215	177
90	218	174
91	220	172
92	222	170
93	225	167
94	227	165
95	230	163
96	232	160
97	234	158
98	237	155
99	239	153
100	241	150
101	243	148
102	246	145
103	248	143
104	250	140
105	252	138
106	254	135
107	256	132
108	258	130
109	260	128
110	262	125
111	265	123
112	266	120
113	269	117
114	271	115
115	272	112
116	275	110
117	277	108
118	279	105
119	281	103
120	283	100
121	285	98
122	287	95
123	289	93
124	291	90
125	293	88
126	295	86
127	297	83
128	299	81
129	302	79
130	304	76
131	306	74
132	309	72
133	311	69
134	314	67
135	316	65
136	318	62
137	320	60
138	323	58
139	325	55
140	328	53
141	330	51
142	333	48
143	335	46
144	338	44
145	340	41
146	342	39
147	345	37
148	347	35
149	349	32
150	352	30
151	354	28
152	356	25
153	359	23
154	361	21
155	364	18
156	366	16
157	368	13
158	371	11
159	373	9
160	375	6
161	377	4
162	379	2
163	381	0
