LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0.155172414,0.113636364,0,0,0.113636364,0.090909091,0.16,0.110687023,0.139490314,0.351627907,0.029616306,0.064393939,0.085895118,0.025,0.029616551,0.064273465,0.08411215,0.087020649,0.166666667,0.567567568,0.139372822,1
0,0,0,0,0,0,0,0.011450382,0.086656998,0.055813953,0.000463573,0.007575758,0.012658228,0.165,0.000463295,0.006338066,0.014018692,0.01179941,0.05,0.162162162,0.020905923,0
0.310344828,0.340909091,0,0.613636364,0.340909091,0.272727273,0.44,0.522900763,0.450429918,0.625116279,0.302272657,0.367424242,0.395117541,0.015,0.302272586,0.36899437,0.420560748,0.379056047,0.625,0.756756757,0.637630662,1
0.017241379,0.045454545,0,0.022727273,0.045454545,0.022727273,0,0.06870229,0.115663524,0.263813953,0.013825774,0.041666667,0.063291139,0.035,0.013825712,0.039987018,0.060747664,0.064896755,0.091666667,0.324324324,0.076655052,1
0.086206897,0.181818182,0,0.159090909,0.181818182,0.159090909,0,0.312977099,0.361131255,0.414697674,0.106669722,0.196969697,0.247739602,0.02,0.106669903,0.196271667,0.25,0.246312684,0.3,0.405405405,0.331010453,1
0.120689655,0.090909091,0,0.022727273,0.090909091,0.068181818,0.08,0.080152672,0.17952968,0.188465116,0.01093966,0.045454545,0.066003617,0.05,0.010939537,0.044317209,0.063084112,0.067846608,0.133333333,0.324324324,0.104529617,0
0.034482759,0.068181818,0,0.022727273,0.068181818,0.068181818,0.08,0.106870229,0.22972133,0.18455814,0.013439695,0.056818182,0.079566004,0.05,0.013439448,0.055563834,0.067757009,0.087020649,0.158333333,0.351351351,0.108013937,0
0.017241379,0,0,0,0,0,0,0.019083969,0.090334611,0.086883721,0.001169661,0.011363636,0.019891501,0.105,0.001169876,0.010280572,0.018691589,0.020648968,0.05,0.189189189,0.027874564,0
0.017241379,0.136363636,0,0.045454545,0.136363636,0.136363636,0,0.160305344,0.232932767,0.331534884,0.043960085,0.102272727,0.140144665,0.03,0.043959868,0.10119437,0.130841121,0.146017699,0.183333333,0.378378378,0.163763066,1
0,0,0,0,0,0,0,0.007633588,0.032114369,0.046511628,0.000119364,0.003787879,0.005424955,0.2,0.000119149,0.001958625,0.002336449,0.007374631,0.008333333,0.135135135,0.010452962,1
0,0.022727273,0,0,0.022727273,0.022727273,0,0,0.019993784,0.130232558,0.00058189,0.003787879,0.008137432,0.07,0.00058189,0.003409599,0.004672897,0.010324484,0.008333333,0.189189189,0.003484321,0
0,0,0,0,0,0,0,0.007633588,0.049725474,0.046511628,0.000184727,0.003787879,0.007233273,0.2,0.000184542,0.003030755,0.007009346,0.007374631,0.025,0.135135135,0.010452962,0
0.137931034,0.454545455,0.083333333,0.113636364,0.454545455,0.454545455,0.48,0.408396947,0.33916917,0.657116279,0.251464185,0.291666667,0.347197107,0.015,0.251464147,0.292037197,0.345794393,0.348082596,0.366666667,0.567567568,0.425087108,0
0.034482759,0,0,0.022727273,0,0,0,0.049618321,0.246296488,0.120930233,0.006185093,0.037878788,0.058770344,0.075,0.006185216,0.039029805,0.060747664,0.057522124,0.15,0.243243243,0.083623693,1
0,0,0,0,0,0,0,0.022900763,0.111778722,0.055813953,0.000597838,0.007575758,0.015370705,0.165,0.000597961,0.008174198,0.018691589,0.013274336,0.066666667,0.162162162,0.031358885,0
0.034482759,0,0,0,0,0,0,0.007633588,0.049259298,0.055813953,0.000263513,0.003787879,0.008137432,0.165,0.000263236,0.00360281,0.007009346,0.008849558,0.025,0.162162162,0.017421603,0
0,0,0,0,0,0,0,0.003816794,0.02460375,0.018604651,1.46E-05,0,0.002712477,0.5,1.44E-05,0.000599837,0.002336449,0.002949853,0.008333333,0.054054054,0.010452962,0
0.034482759,0.022727273,0,0.022727273,0.022727273,0.022727273,0,0.061068702,0.185538175,0.131534884,0.005515119,0.03030303,0.050632911,0.07,0.005515211,0.031989615,0.051401869,0.050147493,0.116666667,0.243243243,0.073170732,0
0.017241379,0,0,0.022727273,0,0,0,0.011450382,0.055941158,0.046511628,0.000207818,0.003787879,0.008137432,0.2,0.000207818,0.003409599,0.007009346,0.008849558,0.025,0.135135135,0.020905923,0
0.224137931,0.227272727,0.166666667,0.227272727,0.227272727,0.159090909,0.28,0.267175573,0.214389309,0.566325581,0.118080528,0.159090909,0.195298373,0.015,0.118080494,0.159101987,0.210280374,0.185840708,0.283333333,0.621621622,0.334494774,1
0,0,0,0,0,0,0,0.019083969,0.08287579,0.009302326,1.23E-05,0,0.003616637,1,1.22E-05,0.001010252,0.007009346,0.001474926,0.025,0.027027027,0.024390244,0
0.034482759,0.090909091,0,0,0.090909091,0.090909091,0.08,0.106870229,0.202475914,0.273674419,0.026042052,0.071969697,0.1039783,0.035,0.026042082,0.072611829,0.10046729,0.10619469,0.158333333,0.351351351,0.114982578,0
0.034482759,0.022727273,0,0,0.022727273,0.022727273,0,0.095419847,0.621050451,0.129674419,0.017931426,0.106060606,0.139240506,0.07,0.017931641,0.105525823,0.107476636,0.159292035,0.275,0.27027027,0.108013937,0
0,0.045454545,0,0,0.045454545,0.022727273,0.08,0.026717557,0.06712939,0.154976744,0.002770906,0.015151515,0.024412297,0.06,0.002770906,0.013638396,0.023364486,0.025073746,0.05,0.27027027,0.027874564,0
0.017241379,0.159090909,0,0,0.159090909,0.045454545,0.12,0.045801527,0.116803066,0.31627907,0.020065547,0.049242424,0.068716094,0.03,0.020065792,0.048412516,0.074766355,0.064896755,0.133333333,0.459459459,0.048780488,1
0,0,0,0,0,0,0,0.030534351,0.115041956,0.111627907,0.002461611,0.015151515,0.03164557,0.085,0.002461673,0.016828265,0.028037383,0.033923304,0.058333333,0.189189189,0.031358885,0
0,0.022727273,0,0,0.022727273,0,0,0.026717557,0.05335129,0.074418605,0.000507507,0.003787879,0.011754069,0.125,0.00050763,0.005204058,0.009345794,0.013274336,0.025,0.162162162,0.027874564,0
0,0,0,0,0,0,0,0.049618321,0.306795815,0.104186047,0.005719027,0.041666667,0.06238698,0.09,0.00571915,0.041888817,0.065420561,0.060471976,0.166666667,0.216216216,0.076655052,1
0,0,0,0,0,0,0,0.030534351,0.141199627,0.096744186,0.002269803,0.018939394,0.03074141,0.095,0.002269926,0.017904183,0.030373832,0.030973451,0.083333333,0.216216216,0.045296167,0
0.017241379,0.022727273,0,0,0.022727273,0.022727273,0,0.030534351,0.087485756,0.08372093,0.001052944,0.011363636,0.017179024,0.11,0.001052944,0.00959739,0.01635514,0.017699115,0.058333333,0.243243243,0.034843206,0
0.034482759,0.022727273,0,0.045454545,0.022727273,0.022727273,0,0.091603053,0.154200767,0.217674419,0.012547463,0.045454545,0.074141049,0.045,0.012547216,0.043987614,0.060747664,0.08259587,0.083333333,0.243243243,0.101045296,0
0.017241379,0.090909091,0,0,0.090909091,0.068181818,0,0.114503817,0.184398633,0.248186047,0.019511797,0.060606061,0.085895118,0.035,0.019511611,0.059983684,0.091121495,0.08259587,0.158333333,0.351351351,0.12195122,0
0.017241379,0.022727273,0,0,0.022727273,0.022727273,0,0.034351145,0.058479229,0.16744186,0.002814656,0.011363636,0.023508137,0.055,0.002814686,0.012827669,0.021028037,0.025073746,0.041666667,0.27027027,0.052264808,0
0.034482759,0,0,0,0,0,0,0.015267176,0.069926448,0.037209302,0.000166254,0.003787879,0.008137432,0.25,0.000166254,0.003409599,0.009345794,0.007374631,0.033333333,0.108108108,0.024390244,0
