Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support,Search Method
CM1,Accuracy,0.9122807017543859,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,Precision,0.8813559322033898,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,Recall,0.9454545454545454,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,F1 Score,0.9122807017543859,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,AUC,0.92326656394453,CM1 Performance Metrics,,,,,,,,Grid Search
CM1,,,CM1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
CM1,,,CM1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,CM1 Classification Report,,,0,0.9454545454545454,0.8813559322033898,0.9122807017543859,59.0,Grid Search
,,,CM1 Classification Report,,,1,0.8813559322033898,0.9454545454545454,0.9122807017543859,55.0,Grid Search
,,,CM1 Classification Report,,,accuracy,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859,Grid Search
,,,CM1 Classification Report,,,macro avg,0.9134052388289676,0.9134052388289676,0.9122807017543859,114.0,Grid Search
,,,CM1 Classification Report,,,weighted avg,0.9145297759035492,0.9122807017543859,0.9122807017543859,114.0,Grid Search
JM1,Accuracy,0.8134206219312602,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,Precision,0.841255605381166,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,Recall,0.770747740345111,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,F1 Score,0.8044596912521441,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,AUC,0.8938325501470274,JM1 Performance Metrics,,,,,,,,Grid Search
JM1,,,JM1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
JM1,,,JM1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,JM1 Classification Report,,,0,0.7900677200902935,0.8557457212713936,0.8215962441314554,1227.0,Grid Search
,,,JM1 Classification Report,,,1,0.841255605381166,0.770747740345111,0.8044596912521441,1217.0,Grid Search
,,,JM1 Classification Report,,,accuracy,0.8134206219312602,0.8134206219312602,0.8134206219312602,0.8134206219312602,Grid Search
,,,JM1 Classification Report,,,macro avg,0.8156616627357297,0.8132467308082523,0.8130279676917997,2444.0,Grid Search
,,,JM1 Classification Report,,,weighted avg,0.8155569412028105,0.8134206219312602,0.8130630261060372,2444.0,Grid Search
KC1,Accuracy,0.7816091954022989,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,Precision,0.8095238095238095,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,Recall,0.7125748502994012,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,F1 Score,0.7579617834394905,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,AUC,0.8492572865319086,KC1 Performance Metrics,,,,,,,,Grid Search
KC1,,,KC1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
KC1,,,KC1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
,,,KC1 Classification Report,,,0,0.7611940298507462,0.8453038674033149,0.8010471204188482,181.0,Grid Search
,,,KC1 Classification Report,,,1,0.8095238095238095,0.7125748502994012,0.7579617834394905,167.0,Grid Search
,,,KC1 Classification Report,,,accuracy,0.7816091954022989,0.7816091954022989,0.7816091954022989,0.7816091954022989,Grid Search
,,,KC1 Classification Report,,,macro avg,0.7853589196872779,0.778939358851358,0.7795044519291694,348.0,Grid Search
,,,KC1 Classification Report,,,weighted avg,0.7843867689467279,0.7816091954022989,0.7803711110063404,348.0,Grid Search
KC3,Accuracy,0.84375,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,Precision,0.8235294117647058,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,Recall,0.875,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,F1 Score,0.8484848484848485,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,AUC,0.826171875,KC3 Performance Metrics,,,,,,,,Grid Search
KC3,,,KC3 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
KC3,,,KC3 Best Hyperparameters,n_estimators,100.0,,,,,,Grid Search
,,,KC3 Classification Report,,,0,0.8666666666666667,0.8125,0.8387096774193549,32.0,Grid Search
,,,KC3 Classification Report,,,1,0.8235294117647058,0.875,0.8484848484848485,32.0,Grid Search
,,,KC3 Classification Report,,,accuracy,0.84375,0.84375,0.84375,0.84375,Grid Search
,,,KC3 Classification Report,,,macro avg,0.8450980392156863,0.84375,0.8435972629521017,64.0,Grid Search
,,,KC3 Classification Report,,,weighted avg,0.8450980392156863,0.84375,0.8435972629521017,64.0,Grid Search
MC1,Accuracy,0.9845559845559846,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,Precision,0.9786096256684492,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,Recall,0.9891891891891892,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,F1 Score,0.9838709677419355,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,AUC,0.9962215286539611,MC1 Performance Metrics,,,,,,,,Grid Search
MC1,,,MC1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
MC1,,,MC1 Best Hyperparameters,n_estimators,300.0,,,,,,Grid Search
