Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,CM1,Accuracy,0.929824561,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Precision,0.912280702,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Recall,0.945454545,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,F1 Score,0.928571429,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,AUC,0.976579353,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,depth,10,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,iterations,300,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,l2_leaf_reg,1,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,learning_rate,0.05,,,,,
Grid Search,,,,CM1 Classification Report,,,0,0.947368421,0.915254237,0.931034483,59
Grid Search,,,,CM1 Classification Report,,,1,0.912280702,0.945454545,0.928571429,55
Grid Search,,,,CM1 Classification Report,,,accuracy,0.929824561,0.929824561,0.929824561,0.929824561
Grid Search,,,,CM1 Classification Report,,,macro avg,0.929824561,0.930354391,0.929802956,114
Grid Search,,,,CM1 Classification Report,,,weighted avg,0.930440135,0.929824561,0.929846167,114
Grid Search,JM1,Accuracy,0.875204583,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Precision,0.9,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Recall,0.843056697,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,F1 Score,0.870598218,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,AUC,0.94116091,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,depth,10,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,iterations,300,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,l2_leaf_reg,1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,JM1 Classification Report,,,0,0.853527607,0.907090465,0.879494271,1227
Grid Search,,,,JM1 Classification Report,,,1,0.9,0.843056697,0.870598218,1217
Grid Search,,,,JM1 Classification Report,,,accuracy,0.875204583,0.875204583,0.875204583,0.875204583
Grid Search,,,,JM1 Classification Report,,,macro avg,0.876763804,0.875073581,0.875046245,2444
Grid Search,,,,JM1 Classification Report,,,weighted avg,0.876668729,0.875204583,0.875064444,2444
Grid Search,KC1,Accuracy,0.818965517,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Precision,0.846666667,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Recall,0.760479042,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,F1 Score,0.80126183,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,AUC,0.889403513,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,depth,10,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,iterations,200,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,l2_leaf_reg,5,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,KC1 Classification Report,,,0,0.797979798,0.872928177,0.833773087,181
Grid Search,,,,KC1 Classification Report,,,1,0.846666667,0.760479042,0.80126183,167
Grid Search,,,,KC1 Classification Report,,,accuracy,0.818965517,0.818965517,0.818965517,0.818965517
Grid Search,,,,KC1 Classification Report,,,macro avg,0.822323232,0.816703609,0.817517458,348
Grid Search,,,,KC1 Classification Report,,,weighted avg,0.821343899,0.818965517,0.81817142,348
Grid Search,KC3,Accuracy,0.890625,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Precision,0.857142857,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Recall,0.9375,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,F1 Score,0.895522388,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,AUC,0.970703125,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,depth,10,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,iterations,300,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,l2_leaf_reg,1,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,learning_rate,0.05,,,,,
Grid Search,,,,KC3 Classification Report,,,0,0.931034483,0.84375,0.885245902,32
Grid Search,,,,KC3 Classification Report,,,1,0.857142857,0.9375,0.895522388,32
Grid Search,,,,KC3 Classification Report,,,accuracy,0.890625,0.890625,0.890625,0.890625
Grid Search,,,,KC3 Classification Report,,,macro avg,0.89408867,0.890625,0.890384145,64
Grid Search,,,,KC3 Classification Report,,,weighted avg,0.89408867,0.890625,0.890384145,64
Grid Search,MC1,Accuracy,0.992277992,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Precision,0.984042553,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Recall,1,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,F1 Score,0.991957105,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,AUC,0.998744937,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,depth,7,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,iterations,200,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,l2_leaf_reg,1,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,MC1 Classification Report,,,0,1,0.985257985,0.992574257,407
Grid Search,,,,MC1 Classification Report,,,1,0.984042553,1,0.991957105,370
Grid Search,,,,MC1 Classification Report,,,accuracy,0.992277992,0.992277992,0.992277992,0.992277992
Grid Search,,,,MC1 Classification Report,,,macro avg,0.992021277,0.992628993,0.992265681,777
Grid Search,,,,MC1 Classification Report,,,weighted avg,0.992401216,0.992277992,0.992280375,777
Grid Search,MC2,Accuracy,0.848484848,MC2 Performance Metrics,,,,,,,
