Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,CM1,Accuracy,0.921052632,CM1_Performance Metrics,,,,,,,
Grid Search,CM1,Precision,0.910714286,CM1_Performance Metrics,,,,,,,
Grid Search,CM1,Recall,0.927272727,CM1_Performance Metrics,,,,,,,
Grid Search,CM1,F1 Score,0.918918919,CM1_Performance Metrics,,,,,,,
Grid Search,CM1,AUC,0.964098613,CM1_Performance Metrics,,,,,,,
Grid Search,CM1,,,CM1_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,CM1,,,CM1_Best Hyperparameters,max_depth,,,,,,
Grid Search,CM1,,,CM1_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,CM1,,,CM1_Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,CM1,,,CM1_Best Hyperparameters,n_estimators,100,,,,,
Grid Search,,,,CM1_Classification Report,,,0,0.931034483,0.915254237,0.923076923,59
Grid Search,,,,CM1_Classification Report,,,1,0.910714286,0.927272727,0.918918919,55
Grid Search,,,,CM1_Classification Report,,,accuracy,0.921052632,0.921052632,0.921052632,0.921052632
Grid Search,,,,CM1_Classification Report,,,macro avg,0.920874384,0.921263482,0.920997921,114
Grid Search,,,,CM1_Classification Report,,,weighted avg,0.921230879,0.921052632,0.921070868,114
Grid Search,JM1,Accuracy,0.894435352,JM1_Performance Metrics,,,,,,,
Grid Search,JM1,Precision,0.876078431,JM1_Performance Metrics,,,,,,,
Grid Search,JM1,Recall,0.917830731,JM1_Performance Metrics,,,,,,,
Grid Search,JM1,F1 Score,0.8964687,JM1_Performance Metrics,,,,,,,
Grid Search,JM1,AUC,0.950637163,JM1_Performance Metrics,,,,,,,
Grid Search,JM1,,,JM1_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,JM1,,,JM1_Best Hyperparameters,max_depth,30,,,,,
Grid Search,JM1,,,JM1_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,JM1,,,JM1_Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,JM1,,,JM1_Best Hyperparameters,n_estimators,200,,,,,
Grid Search,,,,JM1_Classification Report,,,0,0.914456801,0.871230644,0.892320534,1227
Grid Search,,,,JM1_Classification Report,,,1,0.876078431,0.917830731,0.8964687,1217
Grid Search,,,,JM1_Classification Report,,,accuracy,0.894435352,0.894435352,0.894435352,0.894435352
Grid Search,,,,JM1_Classification Report,,,macro avg,0.895267616,0.894530688,0.894394617,2444
Grid Search,,,,JM1_Classification Report,,,weighted avg,0.895346132,0.894435352,0.894386131,2444
Grid Search,KC1,Accuracy,0.824712644,KC1_Performance Metrics,,,,,,,
Grid Search,KC1,Precision,0.835443038,KC1_Performance Metrics,,,,,,,
Grid Search,KC1,Recall,0.790419162,KC1_Performance Metrics,,,,,,,
Grid Search,KC1,F1 Score,0.812307692,KC1_Performance Metrics,,,,,,,
Grid Search,KC1,AUC,0.898352466,KC1_Performance Metrics,,,,,,,
Grid Search,KC1,,,KC1_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,KC1,,,KC1_Best Hyperparameters,max_depth,,,,,,
Grid Search,KC1,,,KC1_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,KC1,,,KC1_Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,KC1,,,KC1_Best Hyperparameters,n_estimators,200,,,,,
Grid Search,,,,KC1_Classification Report,,,0,0.815789474,0.856353591,0.835579515,181
Grid Search,,,,KC1_Classification Report,,,1,0.835443038,0.790419162,0.812307692,167
Grid Search,,,,KC1_Classification Report,,,accuracy,0.824712644,0.824712644,0.824712644,0.824712644
Grid Search,,,,KC1_Classification Report,,,macro avg,0.825616256,0.823386376,0.823943604,348
Grid Search,,,,KC1_Classification Report,,,weighted avg,0.825220926,0.824712644,0.824411715,348
Grid Search,KC3,Accuracy,0.875,KC3_Performance Metrics,,,,,,,
Grid Search,KC3,Precision,0.875,KC3_Performance Metrics,,,,,,,
Grid Search,KC3,Recall,0.875,KC3_Performance Metrics,,,,,,,
Grid Search,KC3,F1 Score,0.875,KC3_Performance Metrics,,,,,,,
Grid Search,KC3,AUC,0.957519531,KC3_Performance Metrics,,,,,,,
Grid Search,KC3,,,KC3_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,KC3,,,KC3_Best Hyperparameters,max_depth,,,,,,
Grid Search,KC3,,,KC3_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,KC3,,,KC3_Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,KC3,,,KC3_Best Hyperparameters,n_estimators,50,,,,,
Grid Search,,,,KC3_Classification Report,,,0,0.875,0.875,0.875,32
Grid Search,,,,KC3_Classification Report,,,1,0.875,0.875,0.875,32
Grid Search,,,,KC3_Classification Report,,,accuracy,0.875,0.875,0.875,0.875
Grid Search,,,,KC3_Classification Report,,,macro avg,0.875,0.875,0.875,64
Grid Search,,,,KC3_Classification Report,,,weighted avg,0.875,0.875,0.875,64
Grid Search,MC1,Accuracy,0.993564994,MC1_Performance Metrics,,,,,,,
Grid Search,MC1,Precision,0.986666667,MC1_Performance Metrics,,,,,,,
Grid Search,MC1,Recall,1,MC1_Performance Metrics,,,,,,,
Grid Search,MC1,F1 Score,0.993288591,MC1_Performance Metrics,,,,,,,
Grid Search,MC1,AUC,0.999252938,MC1_Performance Metrics,,,,,,,
Grid Search,MC1,,,MC1_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,MC1,,,MC1_Best Hyperparameters,max_depth,,,,,,
Grid Search,MC1,,,MC1_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,MC1,,,MC1_Best Hyperparameters,min_samples_split,5,,,,,
Grid Search,MC1,,,MC1_Best Hyperparameters,n_estimators,50,,,,,
Grid Search,,,,MC1_Classification Report,,,0,1,0.987714988,0.99381953,407
Grid Search,,,,MC1_Classification Report,,,1,0.986666667,1,0.993288591,370
Grid Search,,,,MC1_Classification Report,,,accuracy,0.993564994,0.993564994,0.993564994,0.993564994
Grid Search,,,,MC1_Classification Report,,,macro avg,0.993333333,0.993857494,0.99355406,777
Grid Search,,,,MC1_Classification Report,,,weighted avg,0.993650794,0.993564994,0.993566702,777
Grid Search,MC2,Accuracy,0.818181818,MC2_Performance Metrics,,,,,,,
Grid Search,MC2,Precision,0.833333333,MC2_Performance Metrics,,,,,,,
Grid Search,MC2,Recall,0.833333333,MC2_Performance Metrics,,,,,,,
Grid Search,MC2,F1 Score,0.833333333,MC2_Performance Metrics,,,,,,,
Grid Search,MC2,AUC,0.933333333,MC2_Performance Metrics,,,,,,,
Grid Search,MC2,,,MC2_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,MC2,,,MC2_Best Hyperparameters,max_depth,10,,,,,
Grid Search,MC2,,,MC2_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,MC2,,,MC2_Best Hyperparameters,min_samples_split,5,,,,,
Grid Search,MC2,,,MC2_Best Hyperparameters,n_estimators,100,,,,,
Grid Search,,,,MC2_Classification Report,,,0,0.8,0.8,0.8,15
Grid Search,,,,MC2_Classification Report,,,1,0.833333333,0.833333333,0.833333333,18
Grid Search,,,,MC2_Classification Report,,,accuracy,0.818181818,0.818181818,0.818181818,0.818181818
Grid Search,,,,MC2_Classification Report,,,macro avg,0.816666667,0.816666667,0.816666667,33
Grid Search,,,,MC2_Classification Report,,,weighted avg,0.818181818,0.818181818,0.818181818,33
Grid Search,MW1,Accuracy,0.923076923,MW1_Performance Metrics,,,,,,,
Grid Search,MW1,Precision,0.903846154,MW1_Performance Metrics,,,,,,,
Grid Search,MW1,Recall,0.959183673,MW1_Performance Metrics,,,,,,,
Grid Search,MW1,F1 Score,0.930693069,MW1_Performance Metrics,,,,,,,
Grid Search,MW1,AUC,0.990524781,MW1_Performance Metrics,,,,,,,
Grid Search,MW1,,,MW1_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,MW1,,,MW1_Best Hyperparameters,max_depth,,,,,,
Grid Search,MW1,,,MW1_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,MW1,,,MW1_Best Hyperparameters,min_samples_split,5,,,,,
Grid Search,MW1,,,MW1_Best Hyperparameters,n_estimators,200,,,,,
Grid Search,,,,MW1_Classification Report,,,0,0.948717949,0.880952381,0.913580247,42
Grid Search,,,,MW1_Classification Report,,,1,0.903846154,0.959183673,0.930693069,49
Grid Search,,,,MW1_Classification Report,,,accuracy,0.923076923,0.923076923,0.923076923,0.923076923
Grid Search,,,,MW1_Classification Report,,,macro avg,0.926282051,0.920068027,0.922136658,91
Grid Search,,,,MW1_Classification Report,,,weighted avg,0.924556213,0.923076923,0.922794844,91
Grid Search,PC1,Accuracy,0.957364341,PC1_Performance Metrics,,,,,,,
Grid Search,PC1,Precision,0.936507937,PC1_Performance Metrics,,,,,,,
Grid Search,PC1,Recall,0.975206612,PC1_Performance Metrics,,,,,,,
Grid Search,PC1,F1 Score,0.955465587,PC1_Performance Metrics,,,,,,,
Grid Search,PC1,AUC,0.995083549,PC1_Performance Metrics,,,,,,,
Grid Search,PC1,,,PC1_Best Hyperparameters,bootstrap,0,,,,,
Grid Search,PC1,,,PC1_Best Hyperparameters,max_depth,,,,,,
Grid Search,PC1,,,PC1_Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,PC1,,,PC1_Best Hyperparameters,min_samples_split,5,,,,,
