Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,CM1,Accuracy,0.929824561,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Precision,0.912280702,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Recall,0.945454545,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,F1 Score,0.928571429,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,AUC,0.973497689,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,learning_rate,0.2,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,max_depth,5,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,min_samples_leaf,4,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,min_samples_split,10,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,n_estimators,300,,,,,
Grid Search,,,,CM1 Classification Report,,,0,0.947368421,0.915254237,0.931034483,59
Grid Search,,,,CM1 Classification Report,,,1,0.912280702,0.945454545,0.928571429,55
Grid Search,,,,CM1 Classification Report,,,accuracy,0.929824561,0.929824561,0.929824561,0.929824561
Grid Search,,,,CM1 Classification Report,,,macro avg,0.929824561,0.930354391,0.929802956,114
Grid Search,,,,CM1 Classification Report,,,weighted avg,0.930440135,0.929824561,0.929846167,114
Grid Search,JM1,Accuracy,0.880523732,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Precision,0.9018245,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Recall,0.852917009,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,F1 Score,0.876689189,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,AUC,0.945996642,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,learning_rate,0.2,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,max_depth,15,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,n_estimators,300,,,,,
Grid Search,,,,JM1 Classification Report,,,0,0.861562258,0.90790546,0.884126984,1227
Grid Search,,,,JM1 Classification Report,,,1,0.9018245,0.852917009,0.876689189,1217
Grid Search,,,,JM1 Classification Report,,,accuracy,0.880523732,0.880523732,0.880523732,0.880523732
Grid Search,,,,JM1 Classification Report,,,macro avg,0.881693379,0.880411235,0.880408087,2444
Grid Search,,,,JM1 Classification Report,,,weighted avg,0.88161101,0.880523732,0.880423303,2444
Grid Search,KC1,Accuracy,0.833333333,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Precision,0.860927152,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Recall,0.778443114,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,F1 Score,0.817610063,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,AUC,0.902305885,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,learning_rate,0.2,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,max_depth,10,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,min_samples_leaf,2,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,n_estimators,300,,,,,
Grid Search,,,,KC1 Classification Report,,,0,0.812182741,0.883977901,0.846560847,181
Grid Search,,,,KC1 Classification Report,,,1,0.860927152,0.778443114,0.817610063,167
Grid Search,,,,KC1 Classification Report,,,accuracy,0.833333333,0.833333333,0.833333333,0.833333333
Grid Search,,,,KC1 Classification Report,,,macro avg,0.836554947,0.831210507,0.832085455,348
Grid Search,,,,KC1 Classification Report,,,weighted avg,0.835574456,0.833333333,0.832667798,348
Grid Search,KC3,Accuracy,0.890625,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Precision,0.878787879,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Recall,0.90625,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,F1 Score,0.892307692,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,AUC,0.958007813,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,learning_rate,0.05,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,max_depth,10,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,min_samples_leaf,4,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,n_estimators,300,,,,,
Grid Search,,,,KC3 Classification Report,,,0,0.903225806,0.875,0.888888889,32
Grid Search,,,,KC3 Classification Report,,,1,0.878787879,0.90625,0.892307692,32
Grid Search,,,,KC3 Classification Report,,,accuracy,0.890625,0.890625,0.890625,0.890625
Grid Search,,,,KC3 Classification Report,,,macro avg,0.891006843,0.890625,0.890598291,64
Grid Search,,,,KC3 Classification Report,,,weighted avg,0.891006843,0.890625,0.890598291,64
Grid Search,MC1,Accuracy,0.990990991,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Precision,0.986595174,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Recall,0.994594595,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,F1 Score,0.990578735,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,AUC,0.999654692,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,learning_rate,0.2,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,max_depth,3,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,min_samples_leaf,1,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,min_samples_split,2,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,n_estimators,300,,,,,
Grid Search,,,,MC1 Classification Report,,,0,0.995049505,0.987714988,0.991368681,407
