Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,CM1,Accuracy,0.929824561,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Precision,0.912280702,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Recall,0.945454545,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,F1 Score,0.928571429,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,AUC,0.969183359,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,max_depth,7,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,min_child_samples,5,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,num_leaves,20,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,CM1 Classification Report,,,0,0.947368421,0.915254237,0.931034483,59
Grid Search,,,,CM1 Classification Report,,,1,0.912280702,0.945454545,0.928571429,55
Grid Search,,,,CM1 Classification Report,,,accuracy,0.929824561,0.929824561,0.929824561,0.929824561
Grid Search,,,,CM1 Classification Report,,,macro avg,0.929824561,0.930354391,0.929802956,114
Grid Search,,,,CM1 Classification Report,,,weighted avg,0.930440135,0.929824561,0.929846167,114
Grid Search,JM1,Accuracy,0.869067103,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Precision,0.912603496,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Recall,0.815119145,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,F1 Score,0.861111111,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,AUC,0.930792649,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,max_depth,-1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,min_child_samples,20,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,num_leaves,40,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,JM1 Classification Report,,,0,0.834193073,0.922575387,0.876160991,1227
Grid Search,,,,JM1 Classification Report,,,1,0.912603496,0.815119145,0.861111111,1217
Grid Search,,,,JM1 Classification Report,,,accuracy,0.869067103,0.869067103,0.869067103,0.869067103
Grid Search,,,,JM1 Classification Report,,,macro avg,0.873398284,0.868847266,0.868636051,2444
Grid Search,,,,JM1 Classification Report,,,weighted avg,0.87323787,0.869067103,0.86866684,2444
Grid Search,KC1,Accuracy,0.827586207,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Precision,0.863945578,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Recall,0.760479042,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,F1 Score,0.808917197,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,AUC,0.887848612,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,colsample_bytree,0.8,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,max_depth,7,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,min_child_samples,10,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,num_leaves,40,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,KC1 Classification Report,,,0,0.800995025,0.889502762,0.842931937,181
Grid Search,,,,KC1 Classification Report,,,1,0.863945578,0.760479042,0.808917197,167
Grid Search,,,,KC1 Classification Report,,,accuracy,0.827586207,0.827586207,0.827586207,0.827586207
Grid Search,,,,KC1 Classification Report,,,macro avg,0.832470302,0.824990902,0.825924567,348
Grid Search,,,,KC1 Classification Report,,,weighted avg,0.831204055,0.827586207,0.826608772,348
Grid Search,KC3,Accuracy,0.875,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Precision,0.852941176,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Recall,0.90625,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,F1 Score,0.878787879,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,AUC,0.967773438,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,colsample_bytree,1,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,max_depth,7,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,min_child_samples,5,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,n_estimators,100,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,num_leaves,31,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,KC3 Classification Report,,,0,0.9,0.84375,0.870967742,32
Grid Search,,,,KC3 Classification Report,,,1,0.852941176,0.90625,0.878787879,32
Grid Search,,,,KC3 Classification Report,,,accuracy,0.875,0.875,0.875,0.875
Grid Search,,,,KC3 Classification Report,,,macro avg,0.876470588,0.875,0.87487781,64
Grid Search,,,,KC3 Classification Report,,,weighted avg,0.876470588,0.875,0.87487781,64
Grid Search,MC1,Accuracy,0.993564994,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Precision,0.991913747,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Recall,0.994594595,MC1 Performance Metrics,,,,,,,
