Search Method,,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,CM1,Accuracy,0.929824561,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Precision,0.912280702,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,Recall,0.945454545,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,F1 Score,0.928571429,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,AUC,0.961171032,CM1 Performance Metrics,,,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,colsample_bytree,0.8,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,learning_rate,0.2,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,max_depth,3,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,min_child_weight,1,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,n_estimators,100,,,,,
Grid Search,CM1,,,CM1 Best Hyperparameters,subsample,1,,,,,
Grid Search,,,,CM1 Classification Report,,,0,0.947368421,0.915254237,0.931034483,59
Grid Search,,,,CM1 Classification Report,,,1,0.912280702,0.945454545,0.928571429,55
Grid Search,,,,CM1 Classification Report,,,accuracy,0.929824561,0.929824561,0.929824561,0.929824561
Grid Search,,,,CM1 Classification Report,,,macro avg,0.929824561,0.930354391,0.929802956,114
Grid Search,,,,CM1 Classification Report,,,weighted avg,0.930440135,0.929824561,0.929846167,114
Grid Search,JM1,Accuracy,0.870703764,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Precision,0.895522388,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,Recall,0.838126541,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,F1 Score,0.865874363,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,AUC,0.940181174,JM1 Performance Metrics,,,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,colsample_bytree,1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,max_depth,10,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,min_child_weight,1,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,JM1,,,JM1 Best Hyperparameters,subsample,0.8,,,,,
Grid Search,,,,JM1 Classification Report,,,0,0.849042146,0.903015485,0.875197472,1227
Grid Search,,,,JM1 Classification Report,,,1,0.895522388,0.838126541,0.865874363,1217
Grid Search,,,,JM1 Classification Report,,,accuracy,0.870703764,0.870703764,0.870703764,0.870703764
Grid Search,,,,JM1 Classification Report,,,macro avg,0.872282267,0.870571013,0.870535918,2444
Grid Search,,,,JM1 Classification Report,,,weighted avg,0.872187176,0.870703764,0.870554991,2444
Grid Search,KC1,Accuracy,0.793103448,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Precision,0.810457516,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,Recall,0.74251497,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,F1 Score,0.775,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,AUC,0.892149403,KC1 Performance Metrics,,,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,colsample_bytree,0.8,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,max_depth,10,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,min_child_weight,3,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,KC1,,,KC1 Best Hyperparameters,subsample,1,,,,,
Grid Search,,,,KC1 Classification Report,,,0,0.779487179,0.839779006,0.808510638,181
Grid Search,,,,KC1 Classification Report,,,1,0.810457516,0.74251497,0.775,167
Grid Search,,,,KC1 Classification Report,,,accuracy,0.793103448,0.793103448,0.793103448,0.793103448
Grid Search,,,,KC1 Classification Report,,,macro avg,0.794972348,0.791146988,0.791755319,348
Grid Search,,,,KC1 Classification Report,,,weighted avg,0.794349381,0.793103448,0.792429384,348
Grid Search,KC3,Accuracy,0.859375,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Precision,0.828571429,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,Recall,0.90625,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,F1 Score,0.865671642,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,AUC,0.953125,KC3 Performance Metrics,,,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,colsample_bytree,1,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,max_depth,10,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,min_child_weight,1,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,n_estimators,100,,,,,
Grid Search,KC3,,,KC3 Best Hyperparameters,subsample,1,,,,,
Grid Search,,,,KC3 Classification Report,,,0,0.896551724,0.8125,0.852459016,32
Grid Search,,,,KC3 Classification Report,,,1,0.828571429,0.90625,0.865671642,32
Grid Search,,,,KC3 Classification Report,,,accuracy,0.859375,0.859375,0.859375,0.859375
Grid Search,,,,KC3 Classification Report,,,macro avg,0.862561576,0.859375,0.859065329,64
Grid Search,,,,KC3 Classification Report,,,weighted avg,0.862561576,0.859375,0.859065329,64
Grid Search,MC1,Accuracy,0.990990991,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Precision,0.986595174,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,Recall,0.994594595,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,F1 Score,0.990578735,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,AUC,0.999296102,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,colsample_bytree,1,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,learning_rate,0.2,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,max_depth,3,,,,,
